SUBBLDG_ID,BLDG_ID,ADD_ID,NAME,NOTES,CLASS_CODE,REC_IDS,BLDG_USE,GBA,BLDG_TYPE,GREEN_STATUS,PLACENAME,PLACENAME2,PLACENAME3,PLACENAME4,ABBREVIATEDPLACENAME,BUILDING_SHORTCODE,FULLADDRESS,MUNINAME,PROVINCE,POSTALCODE
ENSF03,ENSF,AD-127,Natural Gas Storage,,,146,,,Section,,Natural Gas Storage,Natural Gas Storage,Environmental Services Facility,,,,6025 Nurseries Road,Vancouver,BC,V6T 1W5
ENSF04,ENSF,AD-127,PCB Equipment Storage,,,143,,,Section,,PCB Equipment Storage,PCB Equipment Storage,Environmental Services Facility,,,,6025 Nurseries Road,Vancouver,BC,V6T 1W5
TFS04,TFS,AD-252,Plant Science Field Station,,,666,,75,Section,,Plant Science Field Station,Plant Science Field Station,Plant Science Field Station,,,,2613 West Mall,Vancouver,BC,V6T 1Z4
TFS03,TFS,AD-252,Plant Science Garage,,,667,,317,Section,,Plant Science Garage,Plant Science Garage,Plant Science Garage,,,,2613 West Mall,Vancouver,BC,V6T 1Z4
POWR05,POWR,AD-255,Power House- Meter Station,,,725,,32,Section,,Power House - Meter Station,Meter Station,Power House,,,,2040 West Mall,Vancouver,BC,V6T 1Z2
ACAP01,ACAP,NOT_JOINED,Presidents Row 1,GBA from OSIS,,014-1,,595,Townhouses,,Presidents Row,Presidents Row,Acadia Park Residence,Presidents Row,,,5501 Presidents Row,Vancouver,BC,V6T 1L5
ACAP02,ACAP,NOT_JOINED,Presidents Row 2,GBA from OSIS,,014-2,,595,Townhouses,,,,,,,,,,,
ACAP03,ACAP,NOT_JOINED,Presidents Row 3,GBA from OSIS,,014-3,,595,Townhouses,,,,,,,,,,,
BOTG04,BOTG,AD-120,Botanical Garden Lookout Tower,,,100,,25,Section,,Botanical Garden Ting Lookout,Ting Lookout,Botanical Garden,Ting/Lookout Tower ,,,6804 SW Marine Drive,Vancouver,BC,V6T 1Z4
BOTG07,BOTG,AD-120,Botanical Garden Alpine Garden,,,082,,33,Section,,Botanical Garden Greenhouse,Greenhouse,Botanical Garden,,,,6380 Stadium Road,Vancouver,BC,V6T 1Z4
BOTG00,BOTG,AD-120,Botanical Garden Scholar's Retreat,,,076,,109,Section,,Botanical Garden Scholar's Retreat,Scholar's Retreat,Botanical Garden,,,,6380 Stadium Road,Vancouver,BC,V6T 1Z4
BOTG01,BOTG,AD-120,Botanical Garden,,,097,,150,Section,,Botanical Garden Entrance,Entrance,Botanical Garden,,,,6804 SW Marine Drive,Vancouver,BC,V6T 1Z4
BOTG05,BOTG,AD-120,Botanical Garden Pavilion,,,091,,337,Section,,Botanical Garden Garden Pavilion,Garden Pavilion,Botanical Garden,Garden Pavilion,,,6804 SW Marine Drive,Vancouver,BC,V6T 1Z4
BOTG06,BOTG,AD-120,Botanical Garden Workshop,,,094,,110,Section,,Botanical Garden Workshop,Workshop,Botanical Garden,,,,6450 Stadium Road,Vancouver,BC,V6T 1Z4
BOTR02,BOTR,AD-113,Botanical Garden Greenhouse/Workshop,,,079,,65,Section,,Botanical Garden Greenhouse + Workshop,Greenhouse + Workshop,Botanical Garden Workshop,,,,3929 Wesbrook Mall,Vancouver,BC,V6T 1W5
